pokemonId,latitude,longitude,appearedLocalTime,cluster
133,36.855521,-121.430931,2016-09-07T22:43:26,2
48,36.855574,-121.430752,2016-09-07T22:43:26,2
10,39.524403,-84.364679,2016-09-07T22:43:25,4
129,37.600711,-122.367295,2016-09-07T22:43:22,2
120,29.972897,-90.234764,2016-09-07T22:43:20,4
43,52.401664,16.927269,2016-09-07T22:43:19,3
48,39.747567,-84.087465,2016-09-07T22:43:18,4
19,39.747304,-84.088620,2016-09-07T22:43:18,4
96,53.000954,6.556595,2016-09-07T22:43:18,3
133,38.796429,-94.662110,2016-09-07T22:43:16,4
32,47.670572,-122.312703,2016-09-07T22:43:16,2
81,60.508474,4.914122,2016-09-07T22:43:15,3
19,40.978663,-81.304567,2016-09-07T22:43:13,4
129,37.599951,-122.366853,2016-09-07T22:43:12,2
41,48.747208,2.400732,2016-09-07T22:43:12,3
21,49.262215,14.713130,2016-09-07T22:43:12,3
19,38.976538,-77.529920,2016-09-07T22:43:11,4
111,35.538221,139.458716,2016-09-07T22:43:10,0
10,-22.917521,-43.254984,2016-09-07T22:43:10,1
52,36.853498,-121.418162,2016-09-07T22:43:08,2
74,25.719643,-100.372730,2016-09-07T22:43:07,2
19,39.651652,-77.705547,2016-09-07T22:43:06,4
111,60.514366,4.904648,2016-09-07T22:43:03,3
41,48.744527,2.401294,2016-09-07T22:43:03,3
16,48.582906,7.754326,2016-09-07T22:43:01,3
19,48.584992,7.747907,2016-09-07T22:42:55,3
148,37.599930,-122.366675,2016-09-07T22:42:50,2
46,26.233883,-98.197591,2016-09-07T22:42:49,2
16,41.602389,-87.837285,2016-09-07T22:42:49,4
19,41.602352,-87.843656,2016-09-07T22:42:49,4
13,42.277222,-87.834829,2016-09-07T22:42:48,4
92,32.833901,-83.637378,2016-09-07T22:42:47,4
21,39.650736,-77.711092,2016-09-07T22:42:47,4
13,39.651700,-77.705994,2016-09-07T22:42:45,4
16,38.830985,-77.080325,2016-09-07T22:42:45,4
37,49.120940,-122.652036,2016-09-07T22:42:39,2
96,52.998216,6.546663,2016-09-07T22:42:38,3
16,29.938843,-90.074056,2016-09-07T22:42:37,4
21,60.501147,4.925517,2016-09-07T22:42:36,3
66,48.743563,2.402351,2016-09-07T22:42:35,3
19,60.507983,4.912639,2016-09-07T22:42:35,3
63,25.720954,-100.369747,2016-09-07T22:42:35,2
13,39.714620,-84.074095,2016-09-07T22:42:34,4
133,60.501248,4.925261,2016-09-07T22:42:31,3
10,39.694605,-84.102070,2016-09-07T22:42:30,4
43,39.759963,-84.047428,2016-09-07T22:42:29,4
118,47.664226,-122.298558,2016-09-07T22:42:29,2
21,48.582120,7.742654,2016-09-07T22:42:26,3
96,43.771575,-79.212555,2016-09-07T22:42:24,4
41,48.748110,2.402648,2016-09-07T22:42:24,3
92,43.769567,-79.214758,2016-09-07T22:42:22,4
43,40.924767,9.509170,2016-09-07T22:42:21,3
133,32.832957,-83.637794,2016-09-07T22:42:21,4
13,39.741032,-84.089941,2016-09-07T22:42:19,4
120,48.585018,7.754517,2016-09-07T22:42:19,3
21,39.714257,-84.071701,2016-09-07T22:42:19,4
13,39.523661,-84.365993,2016-09-07T22:42:17,4
21,29.935225,-90.080845,2016-09-07T22:42:13,4
19,38.855162,-77.340384,2016-09-07T22:42:13,4
16,49.159410,-123.022132,2016-09-07T22:42:12,2
19,-22.922941,-43.251735,2016-09-07T22:42:11,1
32,4.810795,114.667304,2016-09-07T22:42:11,0
69,41.601309,-87.837899,2016-09-07T22:42:08,4
110,47.662150,-122.297258,2016-09-07T22:42:07,2
16,52.195775,20.963630,2016-09-07T22:42:06,3
104,60.398846,5.306265,2016-09-07T22:42:05,3
19,36.852118,-121.419502,2016-09-07T22:42:03,2
21,48.742332,2.404874,2016-09-07T22:42:03,3
16,52.996202,6.558733,2016-09-07T22:42:02,3
32,-22.913928,-43.253926,2016-09-07T22:42:01,1
54,48.581399,7.740515,2016-09-07T22:41:59,3
16,38.793533,-94.659041,2016-09-07T22:41:59,4
96,60.394964,5.319282,2016-09-07T22:41:58,3
16,39.645699,-77.711539,2016-09-07T22:41:57,4
127,38.794634,-94.660091,2016-09-07T22:41:56,4
35,-22.915295,-43.253851,2016-09-07T22:41:52,1
